iter	Logloss
0	0.6574334106
1	0.624557373
2	0.5941750488
3	0.5703811035
4	0.5503952637
5	0.5313487549
6	0.5166258545
7	0.5000052185
8	0.48328302
9	0.4716233215
10	0.4586505432
11	0.4497129822
12	0.4391948242
13	0.4326576538
14	0.424331604
15	0.4192017212
16	0.4135636597
17	0.4072900391
18	0.4023156128
19	0.3966564941
20	0.3920923462
21	0.3883181152
22	0.3850780029
23	0.3828355713
24	0.3799119263
25	0.3773303833
26	0.3753867798
27	0.3727470093
28	0.3708221436
29	0.3678525085
30	0.3663161011
31	0.3639450073
32	0.3624786987
33	0.3610435181
34	0.3595053101
35	0.3578303833
36	0.3565175781
37	0.3553424072
38	0.3543164368
39	0.3532507935
40	0.3520679321
41	0.3510914307
42	0.3496047668
43	0.3484749756
44	0.3481997681
45	0.3471575623
46	0.3460105896
47	0.3453781128
48	0.3445775146
49	0.3436698608
50	0.3431611328
51	0.3426152954
52	0.3420929565
53	0.3412703857
54	0.3409373779
55	0.3400012207
56	0.3397180481
57	0.3389105225
58	0.338523468
59	0.3381860962
60	0.3373041077
61	0.3369654541
62	0.3364367676
63	0.3360765991
64	0.3356983337
65	0.3350343933
66	0.3347064514
67	0.3344799194
68	0.3339686584
69	0.333322998
70	0.3331090698
71	0.3325860596
72	0.332253418
73	0.332039032
74	0.3318442993
75	0.3315690613
76	0.3312451172
77	0.3308833313
78	0.3305265503
79	0.3301499939
80	0.3299013672
81	0.3296105957
82	0.3294069214
83	0.329197937
84	0.3289868774
85	0.3288068237
86	0.3285647583
87	0.3282545166
88	0.3281046753
89	0.3279285278
90	0.3277579651
91	0.3272426453
92	0.327013855
93	0.3267838135
94	0.3266165161
95	0.3264814148
96	0.3263414307
97	0.3262288208
98	0.3260430908
99	0.3255292358
100	0.3253180542
101	0.3251645508
102	0.3250331421
103	0.3246594238
104	0.3245134888
105	0.3243066711
106	0.3241677551
107	0.3239776306
108	0.3236230469
109	0.3235063477
110	0.323192688
111	0.3230039673
112	0.3228584595
113	0.3227531738
114	0.3223117371
115	0.3221885681
116	0.3219971008
117	0.321789032
118	0.3215671997
119	0.3213779907
120	0.3212097778
121	0.3210882568
122	0.320987854
123	0.3208334656
124	0.3205336304
125	0.3201121826
126	0.3199632263
127	0.3198024902
128	0.3196577148
129	0.3195646667
130	0.3193654785
131	0.3191965942
132	0.3191109314
133	0.318973999
134	0.3188444214
135	0.3186395874
136	0.3184853516
137	0.3182408447
138	0.3179117432
139	0.3178041077
140	0.317690918
141	0.3175826111
142	0.3174179382
143	0.3173139954
144	0.3172065125
145	0.3169797974
146	0.3167914429
147	0.3166330261
148	0.3164980164
149	0.3164268494
150	0.3162815552
151	0.3161658936
152	0.3158319397
153	0.315690033
154	0.315373291
155	0.3152973633
156	0.3151611633
157	0.3150214233
158	0.3148598938
159	0.3147478027
160	0.3146097717
161	0.3144164429
162	0.314316803
163	0.3141907349
164	0.3140888977
165	0.3139918823
166	0.3138143005
167	0.3136631775
168	0.3135759888
169	0.3133106995
170	0.3131950378
171	0.3130623779
172	0.3129710083
173	0.3128589783
174	0.312741272
175	0.3125702515
176	0.3123904419
177	0.3121958618
178	0.3120241699
179	0.3119511108
180	0.3117846069
181	0.3115834961
182	0.3114677734
183	0.311308197
184	0.3111208496
185	0.3109713745
186	0.3107189331
187	0.3105846252
188	0.3103889465
189	0.310206665
190	0.3100966797
191	0.3099460144
192	0.3098574829
193	0.309675354
194	0.3094639282
195	0.3093313293
196	0.3091987915
197	0.3089875488
198	0.3088239441
199	0.3086237488
